,Id,Partner,PartnerExposureDate,Total Impressions,LogoImpressions,FollowerInteractionRate,BrandExposureValue,Engagement,ServiceType
141,-1881948053,Rakuten,1/3/2023 1:32:30 AM,931846.0,0.0,0.0037272868230017,3379.626,101636,Instagram
144,-1804812931,Rakuten,1/3/2023 1:41:03 AM,10298.0,1807.0,0.0020579268292682,68.94955,81,Twitter
145,-1233663471,Rakuten,1/3/2023 1:47:04 AM,237300.0,94162.0,0.000693230902811,34.64072,8099,Facebook
153,-507474697,Rakuten,1/3/2023 1:47:47 AM,93822.0,13497.0,0.0001078366906283,8.262449,870,Twitter
159,-71459680,Rakuten,1/3/2023 2:24:01 AM,390510.0,40347.0,0.0001699328858062,78.87833,1371,Twitter
161,-1511833644,Rakuten,1/3/2023 2:35:12 AM,346296.0,60754.0,0.0006805910817655,517.1006,5491,Twitter
162,467581855,Rakuten,1/3/2023 2:35:29 AM,419911.0,0.0,0.0013068588003604,796.8112,15268,Facebook
163,-95764416,Rakuten,1/3/2023 2:45:58 AM,487810.0,85581.0,0.0,172.2539,0,Instagram Story
164,-1559410850,Rakuten,1/3/2023 2:57:53 AM,7255.0,1273.0,0.0014989837398374,19.87089,59,Twitter
165,-84522701,Rakuten,1/3/2023 3:25:47 AM,27175.0,6265.0,0.0054111729288926,2.879917,213,Twitter
166,581749876,Rakuten,1/3/2023 3:33:03 AM,9640.0,2033.0,0.002134037904578,0.39149,84,Twitter
173,2100025211,Rakuten,1/3/2023 3:35:40 AM,132622.0,28811.0,0.0001864042861087,4.217965,1504,Twitter
174,-1729516915,Rakuten,1/3/2023 3:42:09 AM,124521.0,31276.0,0.0001787188929046,62.65528,1442,Twitter
175,76873455,Rakuten,1/3/2023 3:44:15 AM,10179.0,2400.0,0.0017529597073319,0.1412771,69,Twitter
177,1569909571,Rakuten,1/3/2023 3:48:12 AM,337226.0,162977.0,0.0006999970726461,284.8148,8178,Facebook
178,-1853878275,Rakuten,1/3/2023 4:02:27 AM,9140.0,1942.0,0.0013718815100858,0.6462348,54,Twitter
180,-1859846887,Rakuten,1/3/2023 4:40:36 AM,117939.0,40905.0,0.0004040946661729,1.746716,4721,Facebook
